p_id,name,price,colour,brand,ratingCount,avg_rating
10808284,AHIKA Floral Print Straight Cotton Kurta With Keyhole Neck,1198,Green,AHIKA,16219,4.093285653
14376546,Anouk Women Black & Orange Bandhani Printed Kurta,1699,Black,Anouk,1086,4.370165746
15055304,Libas Women Blue Embroidered Panelled Kurta with Churidar & With Dupatta,4999,Blue,Libas,544,4.338235294
14649544,JAIPURI BUNAAI Women Blue & Orange Ethnic Motifs Printed Kurta With Trousers & Dupatta,3999,Blue,JAIPURI BUNAAI,1576,4.044416244
17581924,KALINI Women Sea Green Floral Yoke Design Pleated Pure Cotton Top with Skirt & With Dupatta,3999,Sea Green,KALINI,242,3.94214876
13810898,Indo Era Women Blue & Green Printed Kurta with Palazzos & Dupatta,4599,Blue,Indo Era,1717,4.299941759
15150620,Anouk Women Pink & Blue Ethnic Motifs Embroidered Kurta with Trousers & With Dupatta,3899,Pink,Anouk,273,4.084249084
12766966,Ishin Women Red & Orange Bandhani Print Anarkali Kurta,5399,Red,Ishin,2391,4.204935174
14023594,Libas Women Maroon Printed Kurta with Palazzos & Dupatta,3999,Maroon,Libas,1243,4.310539019
14346084,Nayo Women Pink & Off-White Floral Screen Print A-Line Pure Cotton Kurta Set With Dupatta,3699,Pink,Nayo,1247,4.256615878
18829920,Virah Fashion Women Lime Green Embroidered Layered Thread Work Top with Sharara & With Dupatta,4999,Lime Green,Virah Fashion,20,4.35
11459658,Indo Era Folksy Floral Screen Print Cotton Kurta Set,4999,Burgundy,Indo Era,7031,4.222585692
16522612,Kvsfab Women Pink Floral Embroidered Gotta Patti Kurta with Skirt & With Dupatta,6899,Pink,Kvsfab,253,4.363636364
15150642,Anouk Women Teal Blue & Pink Yoke Design Regular Kurta with Trousers & Dupatta,3899,Teal,Anouk,228,3.99122807
10808290,AHIKA Women Green & Mustard Yellow Printed Straight Kurta,1198,Green,AHIKA,6504,3.85701107
12246214,Ahalyaa Women Maroon & Gold Printed Kurti with Sharara & Dupatta,5504,Maroon,Ahalyaa,3724,4.215628357
9438657,AASI - HOUSE OF NAYO Women Black & Mustard Yellow Solid Kurta with Trousers & Dupatta,2999,Black,AASI - HOUSE OF NAYO,5652,4.109164897
16331336,Anubhutee Women Teal Ethnic Motifs Printed Empire Thread Work Pure Cotton Kurta with Trousers & With Dupatta,5299,Teal,Anubhutee,201,3.55721393
7763575,Anouk Women Red Floral Print A-Line Kurta,1699,Red,Anouk,2004,4.076846307
18957838,KALINI Women Fluorescent Green Embroidered Pure Cotton Salwar suit,3699,Fluorescent Green,KALINI,12,4.333333333
18425500,Indi INSIDE Women Pink Ethnic Motifs Block Printed Anarkali Kurta,1599,Pink,Indi INSIDE,94,3.872340426
14925332,Anouk Women Mustard Yellow & Red Geometric Printed Kurta,1099,Mustard,Anouk,450,4.164444444
15646472,Varanga Women Red Bandhani Printed Gotta Patti Kurta,2999,Red,Varanga,452,3.794247788
18503778,KALINI Women Pink Floral Embroidered Layered Gotta Patti Kurti with Sharara & With Dupatta,2999,Pink,KALINI,175,3.6
15561680,DIVYANK Women Navy Blue & Grey Ethnic Motifs Printed Mirror Work Kurta with Palazzos,2999,Navy Blue,DIVYANK,1543,4.233959819
16857670,Libas Women Lavender Floral Printed Pure Cotton Kurta Set with Dupatta,2999,Lavender,Libas,87,4.298850575
13437328,Sangria Women Beige & Black Pure Cotton Printed Kurta with Salwar,2499,Beige,Sangria,699,3.954220315
12105006,Sangria Women Pink & Golden Printed Pure Cotton Kurta with Trousers,1899,Pink,Sangria,372,3.927419355
17487194,Libas Women Beige & Mustard Yellow Zari Woven Design Straight Kurta Trousers Dupatta,4499,Beige,Libas,232,4.603448276
11636314,Shae by SASSAFRAS Women Blue & Off-White Printed Anarkali Kurta,1699,Blue,Shae by SASSAFRAS,5046,4.236821245
16706794,Varanga Floral Net I-Spy Lace Kurta Set,4999,Magenta,Varanga,54,3.574074074
17140538,Myshka Women Pink Floral Printed Pure Cotton Kurta with Sharara & Dupatta,6499,Pink,Myshka,78,3.935897436
14224616,Anouk Women Pink & Gold-Toned Ethnic Motifs Printed Gotta Patti Kurta,3099,Pink,Anouk,72,3.597222222
15508918,Indo Era Women Yellow Floral Yoke Design Regular Kurta with Trousers & With Dupatta,6199,Yellow,Indo Era,714,4.144257703
17197472,heemara Women Purple Floral Embroidered Silk Chiffon Kurta with Trousers & With Dupatta,6599,Purple,heemara,638,4.012539185
13238316,Anouk Purple & White Striped Straight Kurta,1499,Purple,Anouk,511,4.043052838
3077373,HERE&NOW Women White Solid Straight Kurta,1599,White,HERE&NOW,2217,4.102841678
18859760,Ahalyaa Women Black Floral Pleated Pure Cotton Kurti with Trousers,5500,Black,Ahalyaa,11,3.181818182
16919764,Rustorange Women Mustard Yellow Floral Printed Angrakha Kurti with Sharara,3649,Mustard,Rustorange,67,4.208955224
16941854,Varanga Women Lavender Ethnic Motifs Printed Panelled Gotta Patti Pure Cotton Kurti with Sharara & With,6599,Lavender,Varanga,76,3.986842105
15889764,HERE&NOW Women Green & White Ethnic Motifs Printed Kurta,899,Green,HERE&NOW,226,4.10619469
8529019,Varanga Mustard Marigold Cotton Straight Kurta,2199,Yellow,Varanga,13947,3.839607084
17132180,Vishudh Women Black & Teal Blue Checked Pure Cotton Kurta with Palazzo & Dupatta,2399,Black,Vishudh,77,4.064935065
14967448,Indo Era Women Green Ethnic Motifs Printed Panelled Gotta Patti Pure Cotton Kurta with Trousers & With,4399,Green,Indo Era,215,4.227906977
14224394,Nayo Women Mustard Printed Straight Kurta With Plazzo  & Dupatta,3499,Mustard,Nayo,514,4.250972763
7156696,Vishudh Women White & Navy Blue Printed Anarkali Kurta,2149,White,Vishudh,3444,4.259872242
17193226,KALINI Women Teal Blue & Golden Printed Kurti with Sharara,2499,Teal,KALINI,589,4.40237691
14949672,Stylum Women Pink Ethnic Motifs Printed Pure Cotton Kurta with Trousers & Dupatta,3200,Pink,Stylum,398,3.781407035
9370965,Sangria Women Pink Printed Straight Kurta,1299,Pink,Sangria,1182,4.060913706
11434632,Inddus Women Red Embroidered Kurta with Trousers & Dupatta,5899,Red,Inddus,1327,4.1213263
13962368,Indo Era Women Off White & Pink Printed Sequinned Cotton Kurta with Palazzos & Dupatta,6999,Off White,Indo Era,110,4.2
13932904,anayna Women Blue & White Geometric Screen Print Cotton Fusion Kurta,1660,Blue,anayna,985,4.571573604
18198270,Biba Women Mustard Yellow & Pink Floral Printed Pure Cotton Straight Kurta,1999,Mustard,Biba,5,4.6
17104862,Anouk Women Charcoal Grey Pure Cotton Printed Pleated Top with Palazzos,1899,Charcoal,Anouk,7,4.571428571
15150344,Yufta Women Lavender & White Ethnic Motifs Printed Kurta with Trousers & Dupatta,3499,Lavender,Yufta,366,4.234972678
18165350,Indo Era Women Pink Ethnic Motifs Embroidered Kurta with Trousers & Dupatta,5999,Pink,Indo Era,37,4.216216216
12307502,Prakhya Women Pink Self Design Kurta with Trousers & Dupatta,3298,Pink,Prakhya,5199,4.057703405
16287098,Nayo Women Navy Blue Ethnic Motifs Printed Cotton Kurta,1299,Navy Blue,Nayo,109,4.155963303
15390174,Indo Era Women Blue Floral Printed Regular Pure Cotton Kurta with Palazzos & With Dupatta,3499,Blue,Indo Era,72,3.708333333
11197978,Anouk Women Lime Green & Blue Printed A-Line Kurta,1599,Lime Green,Anouk,1258,4.09618442
10648236,Meeranshi Women Green Striped Straight Kurta,1399,Green,Meeranshi,1807,4.086884339
17447636,Khushal K Women Green Ethnic Motifs Printed Gotta Patti Kurta with Trousers & Dupatta,5699,Green,Khushal K,91,3.956043956
17487138,Libas Women Green & Gold-Toned Geometric Print Gotta Patti Kurta with Skirt & Dupatta,3999,Green,Libas,40,4.35
16707970,mokshi Ethnic Motifs Viscose Rayon Kurta Set,3899,Green,mokshi,224,3.964285714
14121926,Anouk Women Purple Thread Work Kurta with Trousers & With Dupatta,4299,Purple,Anouk,144,4.1875
17952212,Biba Women Mustard Yellow & Golden Ethnic Motifs Printed Kurta with Palazzos & Dupatta,3999,Mustard,Biba,52,4.326923077
18184744,Libas Women Red & Gold-Toned Ethnic Motifs Printed Kurta,1399,Red,Libas,15,4.266666667
13572242,Anubhutee Women Green & Blue Printed Kurta with Trousers,2989,Green,Anubhutee,2712,4.070058997
15921898,Divena Women Pink Floral Embroidered Regular Gotta Patti Pure Cotton Kurta with Sharara & With Dupatta,7999,Pink,Divena,71,4.535211268
13647622,Varanga Women Pink & White Leheriya Printed Angrakha Kurta With Embroidery,3599,Pink,Varanga,1038,4.318882466
15098616,Indo Era Women Burgundy & Golden Ethnic Motifs Yoke Design Kurta,2699,Burgundy,Indo Era,1033,3.883833495
9369411,Myshka Women Black & White Striped Straight Kurta,1699,Black,Myshka,1384,4.070086705
17320642,Nayo Women Navy Blue & Pink Floral Printed Pure Cotton Kurta with Trousers & With Dupatta,3749,Navy Blue,Nayo,50,3.68
9861565,AHIKA Women Orange & Pink Digital Print Straight Kurta,860,Orange,AHIKA,3126,3.851247601
15054430,Biba Women Green Ethnic Motifs Printed Regular Pure Cotton Kurta with Palazzos & With Dupatta,4995,Green,Biba,61,4.295081967
16186448,Inddus Women Wine Self Design Anarkali Kurta with Printed Organza Dupatta,5999,Purple,Inddus,150,4.366666667
14323728,Indo Era Women Black & Golden Ethnic Motifs Yoke Design Kurta with Palazzos & With Dupatta,3999,Black,Indo Era,640,4.4015625
17487160,Libas Women Blue & White Geometric Printed Pleated Cotton Kaftan Kurti with Trousers,1999,Blue,Libas,64,4.0625
16190840,Anouk Women White Ethnic Motifs Printed Pleated Pure Cotton Kurta with Trousers,3299,White,Anouk,96,4.125
15508896,Indo Era Women Green Ethnic Motifs Yoke Design Kurta with Palazzos & With Dupatta,6599,Green,Indo Era,32,4.0625
14904336,Varanga Women Purple & Off White Leheriya Striped Gotta Patti Kurta,3299,Purple,Varanga,436,4.254587156
17449666,Shae by SASSAFRAS Women Mauve & White Bandhani Printed Gotta Patti Anarkali Kurta,1999,Mauve,Shae by SASSAFRAS,37,4.189189189
16884160,Rajnandini Women Blue Abstract Kurta with Patiala & Dupatta,2663,Blue,Rajnandini,153,3.85620915
12134668,Anouk Women Black Printed Kurta with Trousers,2499,Black,Anouk,853,4.083235639
16891228,Jaipur Kurti Women Pink Floral Gotta Patti Pure Cotton Kurta with Trousers & Dupatta,4649,Pink,Jaipur Kurti,79,4.556962025
18200178,Biba Women Blue Ethnic Motifs Printed Pure Cotton Kurta with Palazzos & Dupatta,3999,Blue,Biba,27,4.666666667
13091082,Yuris Women Pink & White Printed Kurta with Palazzos & Dupatta,4299,Pink,Yuris,2196,4.175318761
17241826,KALINI Women Black Geometric Checked Thread Work Straight Kurta,1499,Black,KALINI,390,4.228205128
15055286,Libas Women Blue Sequinned Detail Kurta with Palazzos & Dupatta,3999,Blue,Libas,702,4.464387464
15054566,Biba Women Black Floral Printed Panelled Pure Cotton Kurta with Palazzos & With Dupatta,5995,Black,Biba,87,4.586206897
14523618,Vbuyz Women Blue Ethnic Motifs Panelled Kurti with Trousers & With Dupatta,4999,Blue,Vbuyz,139,4.237410072
15535316,Ishin Women Teal Embroidered Regular Sequinned Pure Cotton Kurta with Sharara & With Dupatta,7299,Teal,Ishin,244,4.31557377
10343559,Bhama Couture Women Blue & White Bandhani Printed Kurta with Palazzos,3599,Blue,Bhama Couture,444,4.247747748
14949676,Stylum Women Mustard Yellow Ethnic Motifs Yoke Design Pleated Gotta Patti Kurti with Dhoti Pants,2600,Mustard,Stylum,2075,4.131084337
16505390,KALINI Women Blue Ethnic Motifs Printed Floral Anarkali Kurta,1999,Blue,KALINI,502,4.428286853
14208496,Indo Era Women Peach-Coloured & Pink Pure Cotton Printed Kurta with Trousers & Dupatta,5299,Peach,Indo Era,124,4.403225806
11023922,House of Pataudi Women Purple & Gold-Toned Embroidered Kurta Set,5999,Purple,House of Pataudi,256,3.98046875
14046632,Libas Women White Printed Kurti with Sharara & Dupatta,3399,White,Libas,570,4.342105263
14925534,Anouk Women Green & White Ethnic Motifs Printed Cotton Kurta,1099,Green,Anouk,448,4.040178571
15798294,Indo Era Women Pink Floral Embroidered Kurta with Palazzos & With Dupatta,6199,Pink,Indo Era,108,4.018518519
17193238,KALINI Women Green Floral Printed Gotta Patti Kurta with Sharara,2499,Green,KALINI,268,4.503731343
13523706,Varanga Women Black & White Geometric Printed Bell Sleeves Kurta,1799,Black,Varanga,718,4.181058496
15271046,AHIKA Women Pink & White Bandhani Print Pure Cotton Kurta with Trousers & Dupatta,4247,Pink,AHIKA,77,4.532467532
17487034,Libas Women Blue Floral Printed Pure Cotton Kurta with Trousers & With Dupatta,2999,Blue,Libas,144,4.534722222
15335772,Vishudh Women Yellow Striped Regular Pure Cotton Kurta with Palazzos,2199,Yellow,Vishudh,141,4.226950355
13771272,Nayo Women Green Printed Kurta with Trousers & Dupatta,3499,Green,Nayo,455,4.21978022
12122358,Indo Era Women Black & Teal Blue Yoke Design Kurta with Palazzos & Dupatta,2799,Black,Indo Era,4858,4.298888431
19041030,SheWill Women Purple Sequinned Kurti with Trousers,8649,Purple,SheWill,5,2.6
2322792,Anouk Women Blue & White Printed Straight Kurta,1799,Blue,Anouk,1700,4.487647059
7334039,Vishudh Women White & Pink Printed A-Line Kurta,1799,White,Vishudh,714,4.128851541
17408530,Varanga Women Navy Blue & Red Ethnic Motifs Printed Kurta,2999,Navy Blue,Varanga,72,4.277777778
14854802,Anouk Women Navy Blue Floral Yoke Design Thread Work Straight Kurta,1299,Navy Blue,Anouk,104,4.182692308
16907860,Libas Women Peach Pink Ethnic Motifs Print Flared Sleeves Laces Pure Cotton Straight Kurta,1399,Peach,Libas,15,4.533333333
18847276,PRENEA Women Blue Floral Embroidered Pleated Kurti with Palazzos & With Dupatta,3999,Blue,PRENEA,34,3.852941176
14036824,Yuris Women Grey & White Pure Cotton Printed Kurta with Palazzos & Dupatta,4299,Grey,Yuris,289,4.214532872
13940072,W Women Green Geometric Printed Kurta,3599,Green,W,57,4.228070175
3084524,HERE&NOW Women Red Printed A-Line Kurta,1799,Red,HERE&NOW,2669,4.100037467
12873874,Anubhutee Women Pink & White Printed Kurta with Trousers & Dupatta,3999,Pink,Anubhutee,1129,4.245349867
16926908,FASHION DEPTH Women Black Ethnic Motifs Embroidered Kurta,1999,Black,FASHION DEPTH,159,4.496855346
17766280,HERE&NOW Women Mustard Yellow Bandhani Print Kurta with Sharara & Dupatta,3999,Mustard,HERE&NOW,5,4.4
13727098,W Women Black Quirky Printed Kurta,1799,Black,W,279,4.028673835
14023484,Vishudh Women Lime Green Floral Printed Floral Kurta,1249,Lime Green,Vishudh,265,3.977358491
17923636,Biba Women Teal Green Floral Printed Kurta with Salwar,2799,Teal,Biba,28,4.285714286
6613532,Vishudh Women Navy Blue Yoke Design Straight Kurta,1699,Navy Blue,Vishudh,2651,3.936250472
13652412,Ishin Women Brown Embroidered Kurti with Sharara & Dupatta,7399,Brown,Ishin,269,3.866171004
17606426,Varanga Women Pink Ethnic Motifs A-line Kurta with Trousers &  Dupatta,6999,Pink,Varanga,17,4
17411096,Nayo Women Blue & Maroon Paisley Printed Cotton Kurta,1299,Blue,Nayo,22,4.272727273
15427372,Anouk Women Blue Kurta with Yarn Dyed Trousers,2099,Blue,Anouk,28,4.535714286
16931152,W Women White Geometric Printed Thread Work Kurta,1899,White,W,7,4.571428571
14925594,Anouk Women Purple & White Ethnic Motifs Printed Cotton Kurta,999,Purple,Anouk,282,3.975177305
16505402,KALINI Women Pink Bandhani Printed Anarkali Kurta,1999,Pink,KALINI,382,4.37434555
15639862,Vishudh Women Yellow & Off White Ethnic Motifs Printed A-Line Kurta with Jacket,3999,Yellow,Vishudh,124,4.266129032
19129450,Meeranshi Women Navy Blue Ethnic Motifs Panelled Kurta with Trousers & With Dupatta,4499,Navy Blue,Meeranshi,3,4.333333333
11530828,anayna Women Beige & Pink Screen Print Straight Kurta,1660,Beige,anayna,1116,4.35125448
15026486,W Women Green & Golden Regular Sequinned Kurta with Trousers & With Dupatta,3999,Green,W,766,4.409921671
10513948,Anubhutee Women Mustard Yellow & Brown Screen Printed Straight Kurta,1999,Mustard,Anubhutee,5772,4.181219681
15090310,FASHION DEPTH Women Green & Yellow Floral Yoke Design Thread Work Straight Kurta,1999,Green,FASHION DEPTH,604,4.562913907
9252969,anayna Women Pink Printed Straight Kurta,1599,Pink,anayna,1263,4.517022961
14346054,Nayo Women Navy Blue Ethnic Motifs Printed Indigo Kurta,1299,Navy Blue,Nayo,325,4.326153846
10317841,Jaipur Kurti Women Mustard Yellow & Grey Yoke Design Kurta with Palazzos & Dupatta,4449,Mustard,Jaipur Kurti,1970,4.167005076
14848486,Biba Women Yellow Printed Regular Kurta with Palazzos & With Dupatta,4995,Yellow,Biba,45,4.222222222
15177320,Ode by House of Pataudi Women Pink Cotton Floral Printed Rozana Fit & flare Kurta,1499,Pink,Ode by House of Pataudi,131,4.221374046
13415752,AHIKA Women Red Solid Mandarin Collar Kurta,1737,Red,AHIKA,220,4.368181818
11113624,Popnetic Women Beige & Green Printed Kurta with Palazzos,2499,Beige,Popnetic,2141,3.946286782
18130248,Ojjasvi Women White Geometric Lace Kurta,1499,White,Ojjasvi,28,4.5
13932856,anayna Women White & Pink Printed Kurta with Palazzos,2999,White,anayna,146,4.410958904
14531374,Varanga Women Teal Panelled Kurta with Trousers & With Dupatta,4999,Teal,Varanga,316,4.126582278
10935118,ANAISA Criss-Cross Screen Print Gotta Kurta Set,2219,White,ANAISA,6076,3.977123107
16907804,Libas Women Blue Paisley Yoke Design Gotta Patti Pastels Kurta,1899,Blue,Libas,23,4.52173913
13895534,Inddus Women Purple Solid Kurta with Trousers & Dupatta,5999,Purple,Inddus,483,4.233954451
13596472,AHIKA Women Off-White & Green Printed Kurta with Palazzos,2398,Off White,AHIKA,1401,4.264810849
12135222,Anouk Women Rust Orange & Beige Printed Straight Kurta,1299,Rust,Anouk,965,4.102590674
14482494,Vishudh Women Brown Ethnic Motifs Kurta,1199,Brown,Vishudh,464,3.99137931
18874642,KALINI Women White Ethnic Motifs Thread Work Floral Anarkali Kurta,3599,White,KALINI,6,4.166666667
17445574,Vishudh Women Blue Floral Embroidered Thread Work Cotton Kurta,1149,Blue,Vishudh,93,4.107526882
17455814,Anouk Women Mustard Yellow Ethnic Motifs Printed Pure Cotton Kurta with Trousers,1699,Mustard,Anouk,38,3.552631579
17263086,KALINI Women White & Green Floral Printed Pure Cotton Kurta With Patiala & Dupatta,3499,White,KALINI,117,4.196581197
13237590,Anouk Women Pink Solid Kurta Set,2299,Pink,Anouk,108,4.25
7344664,Varanga Women Pink & Grey Printed Anarkali Kurta,3699,Pink,Varanga,1728,4.178240741
17090142,Anouk Women Pink Solid Kurta with Trousers,3399,Pink,Anouk,18,4.222222222
14602198,Libas Women Blue Layered Chanderi Silk Kurta with Palazzos & With Dupatta,9999,Blue,Libas,16,4.4375
13238184,Anouk Women White & Pink Cotton Ethnic Motifs Printed Straight Kurta with Pockets,1899,White,Anouk,374,4.077540107
9861569,AHIKA Women Pink & White Printed Straight Kurta,860,Pink,AHIKA,6616,3.716898428
13905666,Anouk Women Blue & Yellow Ethnic Motifs Pure Cotton Printed Kurta,999,Blue,Anouk,1102,3.956442831
7372858,anayna Women Maroon & Beige Printed Straight Kurta,1799,Maroon,anayna,891,4.107744108
6630426,Vishudh Women Green Printed Straight Kurta,1549,Green,Vishudh,1556,3.897172237
17102460,Anouk Women Cream-Coloured Striped Kurta with Trousers,1699,Cream,Anouk,25,4.08
12663796,EXTRA LOVE BY LIBAS Plus Size Women Pink Ethnic Motifs Printed Cotton Kurta with Trousers,2499,Pink,EXTRA LOVE BY LIBAS,479,4.321503132
15863332,Vishudh Women Pink Keyhole Neck Thread Work Kurta,1249,Pink,Vishudh,59,3.508474576
13078430,W Women Black & Golden Printed Straight Kurta,1899,Black,W,271,4.15498155
15212276,Varanga Women Rust Brown & Beige Floral Screen Printed Pure Cotton A-Line Kurta,3499,Rust,Varanga,149,3.979865772
15388170,W Women Green & White Ethnic Motifs Printed Kurta,1999,Green,W,68,3.441176471
15883506,Vishudh Women Pink Striped Layered Top with Palazzos & Jacket,2849,Pink,Vishudh,63,4.285714286
18288422,Bhama Couture Women Off White  Floral Chanderi Silk Anarkali Kurta & Dupatta,4499,Off White,Bhama Couture,29,3.586206897
13681780,ZIYAA Women Green & White Self Design Kurta with Trousers,2842,Green,ZIYAA,1426,3.429172511
12530322,HERE&NOW Women Off-White & Red Printed Straight Kurta,1199,Off White,HERE&NOW,553,4.074141049
17761364,Varanga Women Red Kurta with Trousers & With Dupatta,4999,Red,Varanga,19,4.263157895
14602270,Libas Women Grey Self Design Chanderi Silk Kurta with Skirt & With Dupatta,7999,Grey,Libas,20,4.5
14884798,Anouk Women Navy Blue Embroidered Regular Pure Cotton Kurta with Trousers,2699,Navy Blue,Anouk,51,4.117647059
13290414,Sangria Women White & Blue Printed A-Line Kurta with Trousers,4099,Blue,Sangria,210,4.438095238
18916982,AHIKA Women Purple Printed Cotton Kurta,1748,Purple,AHIKA,8,4.25
15268838,Varanga Women Maroon & Beige Ethnic Motifs Printed Thread Work Kurta,3299,Maroon,Varanga,225,4.266666667
16498918,KALINI Women Turquoise Blue Ethnic Motifs Printed Floral Anarkali Kurta,2259,Turquoise Blue,KALINI,66,4.015151515
14925418,Anouk Women Maroon Geometric Print Pure Cotton Kurta with Trousers,1899,Maroon,Anouk,250,3.936
14924962,Nayo Women Maroon Striped Pure Cotton Kurta with Palazzos & Dupatta,3499,Maroon,Nayo,104,4.201923077
15889762,HERE&NOW Women Yellow Ethnic Motifs Printed Kurta,899,Yellow,HERE&NOW,180,4.038888889
13238030,Anouk Women Mustard Kurta,999,Mustard,Anouk,336,3.696428571
15980500,Ishin Women Mustard Yellow Embroidered Regular Gotta Patti Kurta with Sharara & With Dupatta,8299,Mustard,Ishin,89,4.247191011
17088842,Anouk Women White Floral Embroidered Sequinned Kurta with Trousers,3499,White,Anouk,18,4.722222222
9365713,Sangria Women Beige & Black Printed Kurta with Palazzos,2799,Beige,Sangria,706,4.264872521
17090254,Anouk Women Maroon Solid Kurta with Palazzos,2699,Maroon,Anouk,28,3.928571429
12768526,GERUA Women White Yoke Design Panelled Pure Cotton Kurta with Sharara,2999,White,GERUA,494,4.461538462
18127942,AURELIA Women White Floral Embroidered Sequined Cotton Kurta,1599,White,AURELIA,19,3.947368421
16629336,Sangria Women Orange Floral Printed Pleated Pure Cotton Kurti with Salwar,3399,Orange,Sangria,20,4
15520698,Indo Era Women Navy Blue Floral Yoke Design Kurta,2599,Navy Blue,Indo Era,100,4.28
17417200,Anouk Women Red & White Bandhani Printed Angrakha Gotta Patti A-Line Kurta,2999,Red,Anouk,5,4.6
16858486,Vishudh Women Red Embroidered Pure Cotton Kurta with Trousers,2399,Red,Vishudh,25,3.56
10317793,Jaipur Kurti Women Pink & Green Printed Kurta with Trousers,3049,Pink,Jaipur Kurti,1398,3.912732475
18551726,POONAM DESIGNER Women Lime Green Gotta Patti Pure Cotton Kurta with Trousers & With Dupatta,2198,Lime Green,POONAM DESIGNER,11,3.272727273
15582352,Anouk Women Pink Pure Cotton Straight Pastel Kurta,1699,Pink,Anouk,27,4
15258422,Indo Era Floral Cotton Blend Calf Length Kurta Set,4599,Green,Indo Era,149,4.147651007
13770728,Nayo Women Blue  White Pure Cotton Ethnic Motif Print Kurta Set,3499,Blue,Nayo,178,4.308988764
14925506,Anouk Women Purple Floral Printed Regular Pure Cotton Kurta with Palazzos,1799,Purple,Anouk,284,3.788732394
11636386,Shae by SASSAFRAS Women Green & Blue Floral Printed Anarkali Kurta,2099,Green,Shae by SASSAFRAS,918,4.360566449
17049104,Anouk Women Turquoise Blue And Orange Geometric Printed Pure Cotton Kurti with Trousers,2999,Turquoise Blue,Anouk,13,4.846153846
16101270,AHIKA Women Red Ethnic Motifs Printed Regular Pure Cotton Kurta with Trousers & With Dupatta,3748,Red,AHIKA,142,4.133802817
7177279,Varanga Women Black & Golden Ethnic Foil Print Sequinned Pleated A-Line Kurta,2999,Black,Varanga,2710,4.331734317
11862392,Vishudh Women Brown Asymmetric Hem Printed A-Line Kurta,2449,Brown,Vishudh,139,3.568345324
13932854,anayna Women Yellow & Off-White Solid Kurta with Sharara,3198,Yellow,anayna,168,4.422619048
2467322,Vishudh Women Navy Blue & Mustard Printed Anarkali Kurta,1749,Navy Blue,Vishudh,254,4.118110236
16877614,Nayo Women Multicoloured & bracken Ethnic Motifs Printed Keyhole Neck Chikankari Kurta,1299,Multi,Nayo,93,4.268817204
12711000,Inddus Women Pink Embroidered Kurta with Palazzos & Dupatta,6999,Pink,Inddus,602,4.26744186
16190866,Anouk Women Blue & White Floral Embroidered Thread Work Pure Cotton Kurta,1999,Blue,Anouk,22,3.909090909
11074238,Janasya Women Pink & White Printed Straight Kurta,1199,Pink,Janasya,1275,4.321568627
17923630,Biba Women Orange & Golden Ethnic Motifs Printed Kurta with Trousers & Dupatta,3599,Orange,Biba,9,4.222222222
16629682,Sangria Women Sea Green & Coral Orange Ethnic Motifs Printed Kurta with Trousers,3399,Sea Green,Sangria,7,3.571428571
12705418,ZIYAA Women Navy Blue & Red Printed Straight Kurta,1647,Navy Blue,ZIYAA,717,3.892608089
17104804,Anouk Women Mustard Yellow Printed Pure Cotton Kurta with Trousers,1999,Mustard,Anouk,20,4
16312324,Ode by House of Pataudi Women Orange Printed Pure Cotton Rozana Kurti with Dhoti Pants,2999,Orange,Ode by House of Pataudi,22,4.590909091
14080326,all about you Women Black & Golden Geometric Yoke Design Kurta,1499,Black,all about you,57,4.070175439
16493984,Pistaa Women White Pure Cotton Straight Kurta,1799,White,Pistaa,37,4
18261878,Vishudh Women Blue Floral Printed Kurta with Palazzos & With Dupatta,2949,Blue,Vishudh,25,3.28
